Label,Correct Count,Total Count,Rate
25,0,10,0.0
230,0,20,0.0
56,0,10,0.0
68,0,50,0.0
161,0,10,0.0
9,0,10,0.0
85,0,40,0.0
142,0,10,0.0
98,0,50,0.0
44,0,20,0.0
82,0,10,0.0
59,0,20,0.0
109,0,10,0.0
149,0,10,0.0
127,0,20,0.0
240,5,10,0.5
190,0,20,0.0
209,0,10,0.0
51,0,60,0.0
45,0,10,0.0
10,0,40,0.0
198,0,20,0.0
61,0,50,0.0
106,0,30,0.0
231,0,80,0.0
92,0,10,0.0
57,0,10,0.0
214,1,10,0.1
178,0,20,0.0
72,0,10,0.0
43,0,10,0.0
254,0,10,0.0
247,0,10,0.0
164,0,20,0.0
16,0,10,0.0
117,0,50,0.0
188,0,20,0.0
216,3,20,0.15
253,0,10,0.0
34,0,10,0.0
107,0,10,0.0
183,0,130,0.0
150,1,30,0.03333333333333333
94,0,10,0.0
191,0,30,0.0
162,0,70,0.0
129,1,10,0.1
153,0,30,0.0
179,0,10,0.0
176,2,40,0.05
236,1,10,0.1
223,6,30,0.2
233,0,90,0.0
168,0,20,0.0
170,0,70,0.0
218,0,30,0.0
259,0,30,0.0
19,0,180,0.0
184,0,20,0.0
155,0,20,0.0
195,0,20,0.0
199,0,20,0.0
173,0,40,0.0
119,0,40,0.0
11,0,10,0.0
175,0,10,0.0
95,0,30,0.0
49,0,10,0.0
105,0,20,0.0
204,0,130,0.0
126,0,10,0.0
185,0,20,0.0
81,0,50,0.0
143,2,20,0.1
86,0,10,0.0
200,0,10,0.0
196,0,30,0.0
120,0,30,0.0
140,0,10,0.0
151,0,10,0.0
136,0,10,0.0
12,0,10,0.0
141,0,20,0.0
67,0,10,0.0
28,0,10,0.0
166,0,10,0.0
130,0,30,0.0
227,3,50,0.06
201,0,40,0.0
22,2,10,0.2
27,0,20,0.0
83,0,30,0.0
88,0,30,0.0
221,0,40,0.0
244,0,50,0.0
167,0,60,0.0
186,8,10,0.8
55,0,30,0.0
20,0,20,0.0
249,0,20,0.0
174,0,30,0.0
93,0,10,0.0
228,0,10,0.0
229,0,10,0.0
24,0,20,0.0
124,0,30,0.0
96,0,10,0.0
246,0,490,0.0
101,0,20,0.0
261,0,20,0.0
70,0,20,0.0
35,0,50,0.0
97,0,10,0.0
63,0,10,0.0
100,2,10,0.2
2,0,20,0.0
110,1,10,0.1
210,0,20,0.0
23,0,30,0.0
134,0,40,0.0
250,0,10,0.0
89,0,20,0.0
177,0,20,0.0
7,0,10,0.0
169,0,10,0.0
139,0,10,0.0
90,1,30,0.03333333333333333
189,1,10,0.1
87,0,10,0.0
135,0,10,0.0
256,0,10,0.0
50,1,10,0.1
213,0,20,0.0
138,0,30,0.0
258,0,20,0.0
30,0,20,0.0
54,0,40,0.0
252,0,20,0.0
251,0,10,0.0
79,0,30,0.0
220,0,10,0.0
147,0,10,0.0
29,0,20,0.0
21,0,10,0.0
137,1,10,0.1
46,0,20,0.0
74,1,10,0.1
38,0,10,0.0
53,0,10,0.0
111,0,30,0.0
64,0,10,0.0
154,0,10,0.0
102,0,110,0.0
238,0,60,0.0
133,0,10,0.0
76,0,10,0.0
123,0,20,0.0
148,0,30,0.0
41,0,20,0.0
47,0,10,0.0
211,0,10,0.0
58,0,10,0.0
91,0,10,0.0
260,0,20,0.0
66,0,10,0.0
248,0,110,0.0
212,0,10,0.0
182,0,20,0.0
171,0,10,0.0
144,0,40,0.0
146,0,10,0.0
215,0,30,0.0
234,0,10,0.0
65,0,10,0.0
48,0,20,0.0
222,0,10,0.0
207,0,10,0.0
219,0,20,0.0
84,0,10,0.0
5,0,20,0.0
262,0,50,0.0
104,0,10,0.0
36,0,40,0.0
131,0,30,0.0
